"dma1_id","chan2_id","chan1_id","sales1_id"
"National","Business","Newspaper","Business Savings - New Savings Accounts"
"National","Business","Online Display","Business Checking - New Checking Accounts"
"National","Business","Online Display","Business Savings - New Savings Accounts"
"National","Business","Online Video","Business Checking - New Checking Accounts"
"National","Business","Paid Search","Business Checking - New Checking Accounts"
"National","Business","Paid Search","Business Savings - New Savings Accounts"
"National","Business","Radio","Business Checking - New Checking Accounts"
"National","Business","Radio","Business Savings - New Savings Accounts"
"National","Business","Television","Business Checking - New Checking Accounts"
"National","Business Total","Television","Consumer Checking - Total Balances"
"National","Card Total","Television","Consumer Checking - New Checking Accounts"
"National","Card Total","Television","Consumer Savings - New Savings Accounts"
"National","Consumer","Direct Mail","Business Checking - New Checking Accounts"
"National","Consumer","Direct Mail","Business Savings - New Savings Accounts"
"National","Consumer","Direct Mail","Consumer Checking - New Checking Accounts"
"National","Consumer","Direct Mail","Consumer Checking - Total Balances"
"National","Consumer","Direct Mail","Consumer Savings - New Savings Accounts"
"National","Consumer","Direct Mail","Consumer Savings - Total Balances"
"National","Consumer","Magazine","Consumer Checking - New Checking Accounts"
"National","Consumer","Magazine","Consumer Checking - Total Balances"
"National","Consumer","Magazine","Consumer Savings - Total Balances"
"National","Consumer","Newspaper","Consumer Checking - New Checking Accounts"
"National","Consumer","Newspaper","Consumer Checking - Total Balances"
"National","Consumer","Newspaper","Consumer Savings - New Savings Accounts"
"National","Consumer","Newspaper","Consumer Savings - Total Balances"
"National","Consumer","Online Display","Business Savings - New Savings Accounts"
"National","Consumer","Online Display","Consumer Checking - New Checking Accounts"
"National","Consumer","Online Display","Consumer Checking - Total Balances"
"National","Consumer","Online Display","Consumer Savings - New Savings Accounts"
"National","Consumer","Online Display","Consumer Savings - Total Balances"
"National","Consumer","Online Video","Consumer Checking - New Checking Accounts"
"National","Consumer","Online Video","Consumer Savings - New Savings Accounts"
"National","Consumer","Online Video","Consumer Savings - Total Balances"
"National","Consumer","Paid Search","Business Checking - New Checking Accounts"
"National","Consumer","Paid Search","Business Savings - New Savings Accounts"
"National","Consumer","Television","Business Checking - New Checking Accounts"
"National","Consumer","Television","Business Savings - New Savings Accounts"
"National","Consumer","Television","Consumer Checking - New Checking Accounts"
"National","Consumer","Television","Consumer Checking - Total Balances"
"National","Consumer","Television","Consumer Savings - New Savings Accounts"
"National","Consumer","Television","Consumer Savings - Total Balances"
"National","Consumer & XLB","Paid Search","Consumer Checking - New Checking Accounts"
"National","Consumer & XLB","Paid Search","Consumer Checking - Total Balances"
"National","Consumer & XLB","Paid Search","Consumer Savings - New Savings Accounts"
"National","Consumer & XLB","Paid Search","Consumer Savings - Total Balances"
"National","Corporate","Online Display","Business Checking - New Checking Accounts"
"National","Freedom","Affiliates","Freedom Card - New Applications"
"National","Freedom","Direct Mail","Freedom Card - New Applications"
"National","Freedom","Direct Mail","Sapphire Card - New Applications"
"National","Freedom","Online Display","Freedom Card - New Applications"
"National","Freedom","Online Display","Slate Card - New Applications"
"National","Freedom","Online Video","Freedom Card - New Applications"
"National","Freedom","Paid Search","Freedom Card - New Applications"
"National","Freedom","Television","Freedom Card - New Applications"
"National","Freedom","Television","Sapphire Card - New Applications"
"National","Freedom","Television","Slate Card - New Applications"
"National","Ink","Affiliates","Ink Card - New Applications"
"National","Ink","Online Display","Business Checking - New Checking Accounts"
"National","Ink","Online Display","Business Savings - New Savings Accounts"
"National","Ink","Online Display","Ink Card - New Applications"
"National","Ink","Online Video","Business Savings - New Savings Accounts"
"National","Ink","Television","Ink Card - New Applications"
"National","JMC","Radio","Business Savings - New Savings Accounts"
"National","Mariott","Affiliates","Marriott Card - New Applications"
"National","Mariott","Direct Mail","Marriott Card - New Applications"
"National","Mariott","Paid Search","Marriott Card - New Applications"
"National","Multicard","Paid Search","Ink Card - New Applications"
"National","Multicard","Paid Search","Sapphire Card - New Applications"
"National","Multicard","Paid Search","Slate Card - New Applications"
"National","Partner","Online Display","Marriott Card - New Applications"
"National","Partner","Online Display","United Card - New Applications"
"National","Partner","Online Video","Marriott Card - New Applications"
"National","Partner","Online Video","United Card - New Applications"
"National","Partner","Outdoor","Marriott Card - New Applications"
"National","Partner","Outdoor","United Card - New Applications"
"National","Partner","Television","Marriott Card - New Applications"
"National","Partner","Television","United Card - New Applications"
"National","Retail Mortgage","Television","Consumer Checking - New Checking Accounts"
"National","Retail Mortgage","Television","Consumer Savings - New Savings Accounts"
"National","Retail Total","Trade Magazine","Consumer Checking - New Checking Accounts"
"National","Retail Total","Trade Magazine","Consumer Savings - New Savings Accounts"
"National","Sapphire","Affiliates","Sapphire Card - New Applications"
"National","Sapphire","Direct Mail","Sapphire Card - New Applications"
"National","Sapphire","Magazine","Sapphire Card - New Applications"
"National","Sapphire","Online Display","Sapphire Card - New Applications"
"National","Sapphire","Online Display","Slate Card - New Applications"
"National","Sapphire","Online Video","Sapphire Card - New Applications"
"National","Sapphire","Television","Marriott Card - New Applications"
"National","Sapphire","Television","Sapphire Card - New Applications"
"National","Slate","Affiliates","Slate Card - New Applications"
"National","Slate","Direct Mail","Slate Card - New Applications"
"National","Slate","Online Display","Slate Card - New Applications"
"National","United","Direct Mail","United Card - New Applications"
"National","United","Paid Search","United Card - New Applications"
