sales1_name,chan1_name,dma1_name,all_name,spend,decomp,max,cps,clv,hl,hrf,wks
Consumer Checking - New Checking Accounts,Television - Card Total Total,National,overall,16078841.96,7052.258804,35456873.12,1,1,1,0.05,1
Consumer Savings - New Savings Accounts,Television - Card Total Total,National,overall,16078841.96,7546.680489,35456873.12,1,1,2,0.45,1
Freedom Card - New Applications,Direct Mail - Card Freedom Acquisition,National,overall,6207437.579,42222.50223,42687029,0.443729553,1,0.6,0.45,1
Slate Card - New Applications,Direct Mail - Card Slate Acquisition,National,overall,6926685.926,20285.13296,52304964,0.3189639,1,0.01,0.05,1
Freedom Card - New Applications,Direct Mail - Consumer,National,overall,6294883.333,4463.910672,46979552,0.546585214,1,0.3,0.05,1
Consumer Checking - Total Balances,Television - Retail Total Total,National,overall,5225408.602,41488225.34,8612344.54,1,1,4,0.45,1
Consumer Savings - Total Balances,Television - Retail Consumer Acquisition,National,overall,25380042.63,45844607.3,42167004.2,1,1,4,0.05,1
Consumer Checking - New Checking Accounts,Television - Retail Consumer Acquisition,National,overall,25380042.63,7302.001028,42167004.2,1,1,3,0.05,1
Freedom Card - New Applications,Television - Retail Consumer Acquisition,National,overall,25380042.63,5938.91067,42167004.2,1,1,3,0.45,1
Consumer Savings - New Savings Accounts,Television - Retail Consumer Acquisition,National,overall,25380042.63,5042.275297,42167004.2,1,1,4,0.05,1
Business Checking - New Checking Accounts,Television - Retail Consumer Acquisition,National,overall,25380042.63,711.8942914,42167004.2,1,1,5,0.05,1
Freedom Card - New Applications,Television - Card Freedom Awareness,National,overall,7630709.332,18974.71285,7244039.526,2.999893011,1,3,0.6,1
Slate Card - New Applications,Television - Card Freedom Awareness,National,overall,7630709.332,3744.545683,7244039.526,2.999893011,1,5,0.15,1
Sapphire Card - New Applications,Television - Card Freedom Awareness,National,overall,7630709.332,2410.887954,7244039.526,2.999893011,1,4,0.15,1
Freedom Card - New Applications,Television - Card Sapphire Awareness,National,overall,5387021.667,5873.12612,5505700.382,1.999988208,1,3,0.6,1
Sapphire Card - New Applications,Television - Card Sapphire Awareness,National,overall,5387021.667,3124.132454,5505700.382,1.999988208,1,5,0.3,1
Sapphire Card - New Applications,Direct Mail - Card Sapphire Acquisition,National,overall,2167641.757,4081.349349,9497761,0.925376143,1,3,0.45,1
Ink Card - New Applications,Television - Card Ink Awareness,National,overall,3319111.696,2554.095201,7612248.1,1,1,1,0.6,1
Business Checking - New Checking Accounts,Television - Card Ink Awareness,National,overall,3319111.696,583.0070872,7612248.1,1,1,2,0.05,1
Sapphire Card - New Applications,Online Video - Card Sapphire Awareness,National,overall,989358.4427,2019.669353,120106907,0.020187072,1,0.3,0.45,1
Consumer Savings - Total Balances,Online Video - Retail Total Total,National,overall,2185009.999,35382016.55,498421806,0.008656258,1,0.3,0.05,1
Consumer Savings - New Savings Accounts,Online Video - Retail Total Total,National,overall,2185009.999,1131.083104,498421806,0.008656258,1,0.3,0.3,1
Consumer Checking - New Checking Accounts,Online Video - Retail Total Total,National,overall,2185009.999,908.3498067,498421806,0.008656258,1,0.3,0.45,1
Freedom Card - New Applications,Paid Search - Card Multicard Total,National,overall,1650806.617,21771.67268,1053508,2.005773776,1,3,0.45,1
Sapphire Card - New Applications,Paid Search - Card Multicard Total,National,overall,1650806.617,10839.88673,1053508,2.005773776,1,0.01,0.3,1
Consumer Checking - New Checking Accounts,Magazine - Card Total Total,National,overall,952461.6422,2155.803522,60982197,0.074467654,1,0.3,0.45,1
Consumer Checking - Total Balances,Online Video - Retail Total Acquisition,National,overall,530895.1824,13725089.41,157248141,0.007115202,1,0.3,0.15,1
Freedom Card - New Applications,Online Video - Card Freedom Awareness,National,overall,365483.2009,4191.245578,48297460.2,0.014982952,1,0.6,0.45,1
Ink Card - New Applications,Online Display - Card Ink Awareness,National,overall,1297630.086,5028.773276,605872830,0.003878302,1,0.3,0.6,1
Business Checking - New Checking Accounts,Online Display - Card Ink Awareness,National,overall,1297630.086,577.8766706,605872830,0.003878302,1,1,0.15,1
Consumer Savings - Total Balances,Paid Search - Retail Total Total,National,overall,3248227.868,46976085,6328268,0.615982347,1,0.6,0.15,1
Consumer Checking - Total Balances,Paid Search - Retail Total Total,National,overall,3248227.868,11690731.04,6328268,0.615982347,1,0.6,0.15,1
Consumer Savings - New Savings Accounts,Paid Search - Retail Total Total,National,overall,3248227.868,1031.188435,6328268,0.615982347,1,0.6,0.45,1
Consumer Checking - New Checking Accounts,Paid Search - Retail Total Total,National,overall,3248227.868,922.6788474,6328268,0.615982347,1,0.6,0.6,1
Business Checking - New Checking Accounts,Paid Search - Retail Consumer Total,National,overall,787091.5138,677.1662087,1575724,0.599789254,1,3,0.05,1
Business Checking - New Checking Accounts,Radio - Retail Business Total,National,overall,554217.4286,701.2134941,6144.4,265.7942397,1,0.3,0.15,1
Freedom Card - New Applications,Affiliates - Card Freedom Total,National,overall,737114.509,35718.05745,249775,3.458375186,1,0.01,0.45,1
Freedom Card - New Applications,Paid Search - Card Multicard Generic,National,overall,485348.4203,6263.151087,100580,7.287762163,1,0.3,0.6,1
Freedom Card - New Applications,Paid Search - Retail Consumer Brand,National,overall,694216.5645,6939.673905,1538278,0.549584758,1,0.6,0.3,1
Consumer Checking - New Checking Accounts,Radio - Retail Consumer Acquisition,National,overall,642036.6862,678.4413794,16277.2,66.65184204,1,0.6,0.45,1
Consumer Savings - New Savings Accounts,Radio - Retail Consumer Acquisition,National,overall,642036.6862,211.1677768,16277.2,66.65184204,1,0.6,0.45,1
Freedom Card - New Applications,Online Display - Card Freedom Awareness,National,overall,341227.2886,4663.645516,131009974,0.019644634,1,0.01,0.3,1
Sapphire Card - New Applications,Online Display - Card Sapphire Awareness,National,overall,420128.5917,895.8517752,312374026,0.004524,1,0.3,0.3,1
Business Checking - New Checking Accounts,Online Display - Retail Business Awareness,National,overall,373218.727,1110.167564,132716250,0.005083908,1,0.6,0.3,1
Sapphire Card - New Applications,Magazine - Card Sapphire Awareness,National,overall,393316.6171,1238.498741,27519882,0.078749386,1,1,0.15,1
Consumer Checking - New Checking Accounts,Newspaper - Card Total Total,National,overall,161330.3997,1278.655437,116256024,0.007524021,1,0.3,0.45,1
Business Checking - New Checking Accounts,Online Video - Retail Business Awareness,National,overall,197303.2378,720.8133605,23758946,0.020734969,1,0.3,0.15,1
Freedom Card - New Applications,Paid Search - Card Multicard Brand,National,overall,680109.7762,4112.499855,885090,0.93234884,1,0.3,0.6,1
Ink Card - New Applications,Paid Search - Card Multicard Brand,National,overall,680109.7762,994.1029319,885090,0.93234884,1,0.01,0.3,1
Slate Card - New Applications,Affiliates - Card Slate Total,National,overall,242052.1845,34566.31757,129137,1.546252105,1,5,0.45,1
Consumer Savings - Total Balances,Online Display - Retail Total Acquisition,National,overall,498545.1562,30866326.3,280409604,0.00278299,1,0.3,0.05,1
Consumer Checking - Total Balances,Online Display - Retail Total Acquisition,National,overall,498545.1562,14885892.79,280409604,0.00278299,1,0.3,0.05,1
Consumer Savings - New Savings Accounts,Online Display - Retail Mortgage Acquisition,National,overall,202128.6381,2469.58339,125306119,0.002612159,1,1,0.05,1
Sapphire Card - New Applications,Paid Search - Card Partner Brand,National,overall,285828.1368,1238.989597,201168,1.784601561,1,0.6,0.15,1
Consumer Savings - Total Balances,Magazine - Retail Total Total,National,overall,306598.9162,11300942.77,9546750,0.120698541,1,2,0.45,1
Consumer Checking - Total Balances,Magazine - Retail Total Total,National,overall,306598.9162,1548679.666,9546750,0.120698541,1,0.6,0.15,1
Consumer Checking - New Checking Accounts,Magazine - Retail Total Total,National,overall,306598.9162,527.2611895,9546750,0.120698541,1,0.6,0.6,1
Ink Card - New Applications,Paid Search - Card Ink Total,National,overall,113491.5083,1153.898458,24495,7.470343864,1,3,0.05,1
Consumer Checking - New Checking Accounts,Online Display - Retail Consumer Acquisition,National,overall,94287.88,1266.712618,44278124,0.003867498,1,0.3,0.05,1
Consumer Savings - New Savings Accounts,Online Display - Retail Consumer Acquisition,National,overall,94287.88,722.7468644,44278124,0.003867498,1,1,0.05,1
Freedom Card - New Applications,Magazine - Card Freedom Awareness,National,overall,40948.76923,718.7462852,5249405,0.039609181,1,2,0.6,1
Sapphire Card - New Applications,Affiliates - Card Sapphire Total,National,overall,133409.3799,13181.2848,108358,1.027460974,1,0.6,0.45,1
Ink Card - New Applications,Affiliates - Card Ink Total,National,overall,101527.571,5824.413981,125050,1.692196443,1,0.01,0.15,1
Consumer Checking - New Checking Accounts,Newspaper - Retail Total Total,National,overall,254295.8412,451.7745972,20818936,0.032500206,1,0.3,0.6,1
Consumer Savings - New Savings Accounts,Newspaper - Retail Total Total,National,overall,254295.8412,290.696088,20818936,0.032500206,1,0.6,0.15,1
Consumer Savings - New Savings Accounts,Newspaper - Corporate Total Total,National,overall,29728.15333,192.8121566,418422,0.141261725,1,0.6,0.15,1
Business Checking - New Checking Accounts,Newspaper - Retail Business Awareness,National,overall,47463.78265,216.1392791,6639674,0.043880647,1,0.3,0.05,1
Consumer Checking - New Checking Accounts,Online Display - Retail Other Total,National,overall,30604.04641,472.8905464,7660957,0.009835929,1,0.3,0.45,1
Consumer Savings - New Savings Accounts,Online Display - Retail Other Engagement,National,overall,30604.04641,64.54218585,7660957,0.009835946,1,1,0.05,1
Consumer Checking - New Checking Accounts,Outdoor - Retail Total Total,National,overall,27150.76923,7.409128739,586200,0.120423064,1,0.6,0.6,1
Consumer Savings - New Savings Accounts,Outdoor - Retail Total Total,National,overall,27150.76923,2.412802385,586200,0.120423064,1,0.6,0.15,1
Consumer Checking - New Checking Accounts,Online Display - Retail Consumer Awareness,National,overall,47099.08974,1733.835631,22630708,0.005923313,1,0.3,0.05,1
Consumer Savings - New Savings Accounts,Online Display - Retail Consumer Awareness,National,overall,47099.08974,699.4824455,22630708,0.005923313,1,1,0.05,1
Consumer Checking - New Checking Accounts,Television - Retail Consumer Awareness,National,overall,66894.78205,52.69024668,149863.5,1,1,3,0.05,1
Consumer Savings - New Savings Accounts,Television - Retail Consumer Awareness,National,overall,66894.78205,29.28558512,149863.5,1,1,4,0.05,1
Consumer Checking - New Checking Accounts,Radio - Retail Consumer Awareness,National,overall,50341.45128,21.83776218,1377.8,64.70168643,1,0.6,0.45,1
Consumer Savings - New Savings Accounts,Radio - Retail Consumer Awareness,National,overall,50341.45128,5.695340769,1377.8,64.70168643,1,0.6,0.45,1
Business Checking - New Checking Accounts,Paid Search - Retail Business Total,National,overall,12149.53966,48.03491277,5051,5.533826467,1,0.3,0.05,1
Consumer Savings - New Savings Accounts,Trade Magazine - Retail Total Total,National,overall,156.6666667,16.96227167,1410,1,1,0.6,0.15,1
